cleaned,normalized,field_name,created_at
大重亭SHOKUDO,大重亭SHOKUDO,店舗名,2025-07-28T04:11:05.657038
炭火焼肉屋さかい岩出店,炭火焼肉屋さかい 岩出店,店舗名,2025-07-28T04:11:06.235237
Boston’sCAFE石窯ダイニング古河店,ボストンズカフェ石窯ダイニング古河店,店舗名,2025-07-28T04:11:08.718834
イルキャンティビーチェ,イル キャンティ ビーチェ,店舗名,2025-07-28T04:11:11.209420
江ざわ,江ざわ,店舗名,2025-07-28T04:11:15.951920
活魚寿司鶴原店,活魚寿司 鶴原店,店舗名,2025-07-28T04:11:16.529049
地元のお寿司屋さん黒潮,地元のお寿司屋さん黒潮 本店,店舗名,2025-07-28T04:11:17.521356
恭楽亭,恭楽亭 本店,店舗名,2025-07-28T04:11:21.073538
めん房本陣高柳店,めん房本陣高柳店,店舗名,2025-07-28T04:11:25.736491
肉米雄一飯店,肉米雄一飯店,店舗名,2025-07-28T04:11:26.873682
江戸蕎麦にのの,江戸蕎麦 にのの,店舗名,2025-07-28T04:11:28.572341
麺場田所商店千葉北店,麺場田所商店 千葉北店,店舗名,2025-07-28T04:11:36.659904
京都北白川ラーメン魁力屋瑞穂店,京都北白川ラーメン魁力屋瑞穂,店舗名,2025-07-28T04:11:38.912789
椿屋カフェ北千住マルイ店,椿屋カフェ北千住マルイ店,店舗名,2025-07-28T04:55:07.859197
南部家敷八橋店,南部家敷八橋店,店舗名,2025-07-28T04:55:08.437408
徳寿平岡店,徳寿平岡,店舗名,2025-07-28T04:55:08.895916
炭火焼肉屋さかい御坊店,炭火焼肉屋さかい御坊店,店舗名,2025-07-28T04:55:09.405856
炭火焼肉屋さかい田辺店,炭火焼肉屋さかい田辺店,店舗名,2025-07-28T04:55:10.192722
炭火焼肉屋さかい新宮店,炭火焼肉屋さかい新宮店,店舗名,2025-07-28T04:55:10.749460
ツーリストジャパン近江八幡店,ツーリストジャパン近江八幡店,店舗名,2025-07-28T04:55:11.502463
マショマショ&マショチキン葛西店,マショマシマショチキン葛西店,店舗名,2025-07-28T04:55:12.098910
大戸屋ごはん処ベルモール宇都宮店,大戸屋ごはん処ベルモール宇都宮店,店舗名,2025-07-28T04:55:12.915380
日本旅行TiS富山支店,日本旅行TiS富山支店,店舗名,2025-07-28T04:55:13.466201
日本旅行TiS金沢支店,日本旅行ティーズ金沢支店,店舗名,2025-07-28T04:55:14.106774
欧風食堂バンデミュール,欧風食堂バンデミュール,店舗名,2025-07-28T04:55:14.640199
いずみ食堂,いずみ食堂,店舗名,2025-07-28T04:55:15.254845
河童ラーメン本舗和泉店,河童ラーメン本舗和泉店,店舗名,2025-07-28T04:55:15.965973
カルビ屋三夢松本村井店,カルビ屋三夢松本村井店,店舗名,2025-07-28T04:55:16.610003
日本旅行TiS大阪支店,日本旅行ティーアイエス大阪支店,店舗名,2025-07-28T04:55:17.553418
河童ラーメン本舗泉佐野店,河童ラーメン本舗泉佐野店,店舗名,2025-07-28T04:55:18.464487
廻る寿し祭り応神店,廻る寿し祭り応神店,店舗名,2025-07-28T04:55:19.120623
河童ラーメン本舗香芝店,河童ラーメン本舗香芝店,店舗名,2025-07-28T04:55:19.798419
かつくらくずはモール店様,かつくらくずはモール,店舗名,2025-07-28T05:02:01.424512
家族亭ならファミリー店様分,家族亭ならファミリー店,店舗名,2025-07-28T05:02:01.907745
丸源ラーメン鹿児島新栄店様,丸源ラーメン鹿児島新栄店,店舗名,2025-07-28T05:02:02.829143
しゃぶしゃぶブッフェしゃ,しゃぶしゃぶブッフェ,店舗名,2025-07-28T05:02:03.322063
焼肉の名門天壇北山店様,焼肉の名門天壇北山,店舗名,2025-07-28T05:02:03.939570
丸源ラーメン豊田若林店様分,丸源ラーメン豊田若林店,店舗名,2025-07-28T05:02:04.508551
江戸前回転鮨弥一阪急う,江戸前回転鮨弥一阪急う,店舗名,2025-07-28T05:02:05.218941
七輪炭火焼肉遊輪読売ラン,七輪炭火焼肉遊輪読売ラン,店舗名,2025-07-28T05:02:05.742259
丸源ラーメン草加店様分,丸源ラーメン草加店,店舗名,2025-07-28T05:02:06.427981
椿屋茶房丸ビル店様分,椿屋茶房丸ビル,店舗名,2025-07-28T05:02:07.058015
家族亭アリオ北砂店様分,家族亭アリオ北砂店,店舗名,2025-07-28T05:02:07.490203
ぼて六甲店様分,ぼて六甲店,店舗名,2025-07-28T05:02:07.991230
丸源ラーメン練馬関町店様分,丸源ラーメン練馬関町店,店舗名,2025-07-28T05:02:08.519528
焼肉きんぐ三鷹野崎店様,焼肉キング三鷹野崎店,店舗名,2025-07-28T05:02:09.066591
濵かつ福岡小田部店様分,濱かつ福岡小田部店,店舗名,2025-07-28T05:02:09.557570
江戸前回転鮨弥一堺中央,江戸前回転鮨弥一堺中央,店舗名,2025-07-28T05:02:10.149525
加東市役所税務課様分,加東市役所税務課,店舗名,2025-07-28T05:02:10.711805
焼肉きんぐ秋田広面店様,焼肉キング秋田広面店,店舗名,2025-07-28T05:02:11.346676
丸源ラーメン福山引野店様分,丸源ラーメン福山引野店,店舗名,2025-07-28T05:02:11.953909
丸源ラーメン所沢北野店様分,丸源ラーメン所沢北野店,店舗名,2025-07-28T05:02:12.395242
ステーキランド神戸館様分,ステーキランド神戸館,店舗名,2025-07-28T05:02:12.886254
グリルキャンプ新潟店様分,グリルキャンプ新潟,店舗名,2025-07-28T05:02:13.415987
丸源ラーメン小平店様分,丸源ラーメン小平店,店舗名,2025-07-28T05:02:13.836721
丸源ラーメン君津店様分,丸源ラーメン君津店,店舗名,2025-07-28T05:02:14.548391
丸源ラーメン一宮バイパス店,丸源ラーメン一宮バイパス店,店舗名,2025-07-28T05:02:15.132649
焼肉きんぐ新潟河渡店様,焼肉キング新潟河渡店,店舗名,2025-07-28T05:02:15.767080
ヒロコーヒー箕面小野原店様分,ヒロコーヒー箕面小野原,店舗名,2025-07-28T05:02:16.316670
和ごはんとろろ屋二子玉,和ごはんとろろ屋二子玉,店舗名,2025-07-28T05:02:16.833227
ダッキーダック池袋アルパ店,ダッキーダック池袋アルパ,店舗名,2025-07-28T05:02:17.433380
焼肉きんぐ和歌山岩出店,焼肉キング和歌山岩出店,店舗名,2025-07-28T05:02:17.910156
鎌倉パスタなかもず店様,鎌倉パスタなかもず店,店舗名,2025-07-28T05:02:18.442274
南大門 大館店,南大門大館店,店舗名,2025-07-28T05:04:31.615756
魚屋路 横浜十日市場店,魚屋路横浜十日市場店,店舗名,2025-07-28T05:04:32.578361
はまかつ 熊本新空港通り店,はまかつ熊本新空港通り店,店舗名,2025-07-28T05:04:33.257244
南部家敷 八橋店,南部家敷八橋店,店舗名,2025-07-28T05:04:33.756684
沼津魚がし鮨 下土狩店,沼津魚がし鮨下土狩店,店舗名,2025-07-28T05:04:34.427888
8番らーめん 小松店,8番らーめん小松,店舗名,2025-07-28T05:04:35.040388
椿屋珈琲 上野茶廊,椿屋珈琲上野茶廊,店舗名,2025-07-28T05:04:35.592767
まつりや 十勝音更店,まつりや十勝音更店,店舗名,2025-07-28T05:04:36.077873
ダッキーダック有楽町店,ダッキーダック有楽町店,店舗名,2025-07-28T05:04:36.679277
じゅうじゅうカルビ 長崎三芳店,じゅうじゅうカルビ長崎三芳店,店舗名,2025-07-28T05:04:37.235382
ビストロティガボンボン 池袋サンシャイン店,ビストロティガボンボン池袋サンシャイン店,店舗名,2025-07-28T05:04:37.910850
ららぽーとEXPOCITYオペレーションセンター,ららぽーとEXPOCITYオペレーションセンター,店舗名,2025-07-28T05:04:38.593630
精肉とり焼 新家,精肉とり焼新家,店舗名,2025-07-28T05:04:39.030534
スーパーカット立川南口店,スーパーカット立川南口店,店舗名,2025-07-28T05:04:39.589170
しゃぶしゃぶブッフェしゃぶ葉 上福岡店,しゃぶしゃぶブッフェしゃぶ葉上福岡店,店舗名,2025-07-28T05:04:40.205015
初花 本店,初花本店,店舗名,2025-07-28T05:04:40.752037
回転寿司みさき(海鮮三崎港)新宿イースト,回転寿司みさき新宿イースト,店舗名,2025-07-28T05:04:41.306488
ダッキーダック船橋東武店,ダッキーダック船橋東武店,店舗名,2025-07-28T05:04:41.836548
焼肉冷麺やまなか家 雫石店,焼肉冷麺やまなか家雫石店,店舗名,2025-07-28T05:04:42.450993
はまかつ 博多デイトス店,はまかつ博多デイトス店,店舗名,2025-07-28T05:04:43.063396
くら寿司 世田谷馬事公苑店,くら寿司世田谷馬事公苑店,店舗名,2025-07-28T05:04:43.597428
くら寿司 江南店,くら寿司江南店,店舗名,2025-07-28T05:04:44.028626
くら寿司アトレ大森店,くら寿司アトレ大森店,店舗名,2025-07-28T05:04:44.548939
くら寿司岩倉店,くら寿司岩倉店,店舗名,2025-07-28T05:04:45.033754
くら寿司静岡インター通り店,くら寿司静岡インター通り店,店舗名,2025-07-28T05:04:45.707631
がってんカルビ さいたま新中里店,がってんカルビさいたま新中里店,店舗名,2025-07-28T05:04:46.253681
Speedy Color 行田ドンキ店,スピーディーカラー行田ドンキ店,店舗名,2025-07-28T05:04:46.830638
イタリアンダイニングDONAビーンズ武蔵浦和店,イタリアンダイニングDONAビーンズ武蔵浦和店,店舗名,2025-07-28T05:04:47.332970
鰻萬,鰻万,店舗名,2025-07-28T05:04:47.735060
くら寿司セブンタウン小豆沢店,くら寿司セブンタウン小豆沢店,店舗名,2025-07-28T05:04:48.394796
江戸前回転鮨 弥一 紀ノ川店,江戸前回転鮨弥一紀ノ川店,店舗名,2025-07-28T05:04:48.932732
焼肉きんぐ 我孫子店,焼肉キング我孫子店,店舗名,2025-07-28T05:04:49.478937
ららぽーと沼津,ららぽーと沼津店,店舗名,2025-07-28T05:04:49.922079
焼肉きんぐ 大阪三津屋店,焼肉キング大阪三津屋店,店舗名,2025-07-28T05:04:50.460225
サイゼリヤ イオンモール大曲店,サイゼリヤイオンモール大曲店,店舗名,2025-07-28T05:04:51.201943
丸源ラーメン 柏新富町店,丸源ラーメン柏新富町店,店舗名,2025-07-28T05:04:51.752093
南房総やまと寿司 館山店本店,南房総やまと寿司 館山店,店舗名,2025-07-28T05:04:52.265458
焼肉きんぐ 広島緑井店,焼肉キング広島緑井店,店舗名,2025-07-28T05:04:52.773063
焼肉きんぐ 熊本はません店,焼肉キング熊本浜村店,店舗名,2025-07-28T05:04:53.269629
スパゲッ亭チャオ アピタ向山店,スパゲッ亭チャオアピタ向山,店舗名,2025-07-28T05:04:53.771643
焼肉さんあい 志木南口店,焼肉さんあい志木南口店,店舗名,2025-07-28T05:04:54.347904
群馬を握る、まぐろ問屋いちもん 高崎新保店,群馬を握る、まぐろ問屋いちもん高崎新保店,店舗名,2025-07-28T05:04:55.044176
つばめグリル ホテルメッツ川崎店,つばめグリルホテルメッツ川崎店,店舗名,2025-07-28T05:04:55.673975
彩炉 清水店,彩炉清水店,店舗名,2025-07-28T05:04:56.071771
いわ栄 中庄本店,いわ栄中庄本店,店舗名,2025-07-28T05:04:56.697532
マルサ水産 津島店,マルサ水産津島店,店舗名,2025-07-28T05:04:57.256388
焼肉きんぐ 福岡千早店,焼肉キング福岡千早店,店舗名,2025-07-28T05:04:57.929314
焼肉きんぐ 福岡原店,焼肉キング福岡原店,店舗名,2025-07-28T05:04:58.498896
焼肉きんぐ 吉田店,焼肉キング吉田店,店舗名,2025-07-28T05:04:58.995363
焼肉きんぐ 那覇久茂地店,焼肉キング那覇久茂地店,店舗名,2025-07-28T05:04:59.557525
くら寿司 今川店,くら寿司今川,店舗名,2025-07-28T05:05:00.079284
くら寿司 精華町店,くら寿司精華町店,店舗名,2025-07-28T05:05:00.577482
くら寿司 四日市店,くら寿司四日市店,店舗名,2025-07-28T05:05:01.287385
くら寿司小倉徳力店,くら寿司小倉徳力店,店舗名,2025-07-28T05:05:02.402791
焼肉 丸惠 松縄店,焼肉 丸惠 松縄店,店舗名,2025-07-28T05:05:02.901962
くら寿司函館東山店,くら寿司函館東山店,店舗名,2025-07-28T05:05:03.381690
餃子の王将 西宮北口店,餃子の王将 西宮北口店,店舗名,2025-07-28T05:05:04.057527
あみやき亭plus 大垣インター店,あみやき亭プラス大垣インター,店舗名,2025-07-28T05:05:04.598780
焼肉きんぐ 盛岡盛南店,焼肉キング盛岡盛南店,店舗名,2025-07-28T05:05:05.076514
焼肉きんぐ 鹿児島宇宿店,焼肉キング鹿児島宇宿店,店舗名,2025-07-28T05:05:05.782335
焼肉きんぐ 蒲郡店,焼肉キング蒲郡店,店舗名,2025-07-28T05:05:06.225760
焼肉きんぐ 砺波店,焼肉キング砺波店,店舗名,2025-07-28T05:05:06.747576
焼肉きんぐ 鹿屋バイパス店,焼肉キング鹿屋バイパス店,店舗名,2025-07-28T05:05:07.327917
焼肉きんぐ 福山王子店,焼肉キング福山王子店,店舗名,2025-07-28T05:05:07.830001
焼肉きんぐ 別府店,焼肉キング別府店,店舗名,2025-07-28T05:05:08.438360
焼肉きんぐ 福山御幸店,焼肉キング福山御幸店,店舗名,2025-07-28T05:05:09.235414
焼肉きんぐ 苫小牧店,焼肉キング苫小牧店,店舗名,2025-07-28T05:05:09.701384
焼肉きんぐ 西条店,焼肉キング西条店,店舗名,2025-07-28T05:05:10.128237
餃子の王将 枚方店,餃子の王将枚方店,店舗名,2025-07-28T05:05:10.679227
餃子の王将 尼宝線寺本店,餃子の王将尼宝線寺本店,店舗名,2025-07-28T05:05:11.317213
餃子の王将 新開地店,餃子の王将新開地店,店舗名,2025-07-28T05:05:11.857291
餃子の王将 武蔵境駅前店,餃子の王将武蔵境駅前,店舗名,2025-07-28T05:05:12.427576
丸源ラーメン 本郷台店,丸源ラーメン本郷台店,店舗名,2025-07-28T05:05:12.912406
株式会社 EPARKライフスタイル,EPARKライフスタイル,店舗名,2025-07-28T05:05:13.321917
丸源ラーメン 橿原店,丸源ラーメン橿原店,店舗名,2025-07-28T05:05:14.029741
We eat wheat,We Eat Wheat,店舗名,2025-07-28T05:05:14.449928
くら寿司松戸二十世紀が丘店,くら寿司松戸二十世紀が丘店,店舗名,2025-07-28T05:05:15.093235
金星パスタ くずはモール店,金星パスタくずはモール店,店舗名,2025-07-28T05:05:15.566160
くら寿司 芥川店,くら寿司芥川店,店舗名,2025-07-28T05:05:16.259096
くら寿司 神戸有野店,くら寿司神戸有野店,店舗名,2025-07-28T05:05:16.914533
くら寿司 江坂店,くら寿司江坂店,店舗名,2025-07-28T05:05:17.660555
くら寿司 和歌山花山店,くら寿司和歌山花山店,店舗名,2025-07-28T05:05:18.143477
くら寿司 尼崎下坂部店,くら寿司尼崎下坂部店,店舗名,2025-07-28T05:05:18.685926
徳寿 平岡店,徳寿平岡店,店舗名,2025-07-28T05:05:19.969749
ブンゴヤ薬局 駅南店,ブンゴヤ薬局駅南店,店舗名,2025-07-28T05:05:20.434363
ブンゴヤ薬局 大道店,ブンゴヤ薬局大道店,店舗名,2025-07-28T05:05:21.262064
一般財団法人 大阪建築防災センター,大阪建築防災センター,店舗名,2025-07-28T05:05:22.042895
くら寿司 寝屋川店,くら寿司寝屋川店,店舗名,2025-07-28T05:05:23.052495
焼肉きんぐ 広島井口店,焼肉キング広島井口店,店舗名,2025-07-28T05:05:24.208591
ブンゴヤ薬局 本店,ブンゴヤ薬局 本店,店舗名,2025-07-28T05:05:24.767264
くら寿司 西大路七条店,くら寿司 西大路七条店,店舗名,2025-07-28T05:05:25.717177
