[2025-07-30 15:13:17,894][WARNING] 読込エラー | C:\Users\8963948\Desktop\帳簿アップロード\processed\営業部\~$営業部_GOG株式会社_2025年1月.xlsx: [Errno 13] Permission denied: 'C:\\Users\\8963948\\Desktop\\帳簿アップロード\\processed\\営業部\\~$営業部_GOG株式会社_2025年1月.xlsx' | 
[2025-07-30 15:13:24,172][WARNING] 読込エラー | C:\Users\8963948\Desktop\帳簿アップロード\processed\営業部\~$営業部_GOG株式会社_2025年1月.xlsx: [Errno 13] Permission denied: 'C:\\Users\\8963948\\Desktop\\帳簿アップロード\\processed\\営業部\\~$営業部_GOG株式会社_2025年1月.xlsx' | 
[2025-07-30 16:18:28,065][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:18:28,066][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:20:17,517][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:20:17,517][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:26:51,348][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:26:51,349][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:28:16,469][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:28:16,469][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:31:11,521][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:31:11,522][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:37:27,235][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:37:27,236][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:38:59,614][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:38:59,615][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:45:18,596][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:45:18,597][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:45:44,335][WARNING] 読込エラー | C:\Users\8963948\Desktop\帳簿アップロード\processed\errors\~$営業部_GOG株式会社_2025年1月.xlsx: Excel file format cannot be determined, you must specify an engine manually. | 
[2025-07-30 16:45:44,338][WARNING] 読込エラー | C:\Users\8963948\Desktop\帳簿アップロード\processed\errors\~$営業部_GOG株式会社_2025年1月.xlsx: Excel file format cannot be determined, you must specify an engine manually. | 
[2025-07-30 16:47:42,464][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:47:42,464][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:48:30,155][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:48:30,155][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:48:40,649][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:48:40,649][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:48:53,098][WARNING] 読込エラー | C:\Users\8963948\Desktop\帳簿アップロード\processed\errors\~$営業部_GOG株式会社_2025年1月.xlsx: Excel file format cannot be determined, you must specify an engine manually. | 
[2025-07-30 16:48:53,175][WARNING] 読込エラー | C:\Users\8963948\Desktop\帳簿アップロード\processed\errors\~$営業部_GOG株式会社_2025年1月.xlsx: Excel file format cannot be determined, you must specify an engine manually. | 
[2025-07-30 16:52:16,229][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:52:16,230][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:54:12,170][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:54:12,170][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:54:31,468][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:54:31,468][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 16:57:09,536][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 16:57:09,536][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 17:00:31,533][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 17:00:31,533][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 17:05:27,309][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 17:05:27,309][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
[2025-07-30 17:07:39,023][INFO] ウォッチャー再開：停止フラグをクリア
[2025-07-30 17:07:39,023][INFO] ウォッチャー開始：run_batch_watcher を呼び出し
